time	V(pwm)	V(v_triag)	V(vmed)	V(n003)
0.000000000000000e+00	1.089398e+00	1.436275e+00	1.436073e+00	1.435680e+00
9.999999960041972e-13	1.089398e+00	1.436275e+00	1.436073e+00	1.435680e+00
1.999999992008394e-12	1.089398e+00	1.436275e+00	1.436073e+00	1.435681e+00
3.999999984016789e-12	1.089398e+00	1.436275e+00	1.436073e+00	1.435681e+00
7.999999968033578e-12	1.089398e+00	1.436275e+00	1.436073e+00	1.435681e+00
1.599999993606716e-11	1.089398e+00	1.436275e+00	1.436073e+00	1.435681e+00
3.199999987213431e-11	1.089398e+00	1.436276e+00	1.436073e+00	1.435681e+00
6.399999974426862e-11	1.089398e+00	1.436275e+00	1.436073e+00	1.435681e+00
1.279999994885372e-10	1.089398e+00	1.436275e+00	1.436073e+00	1.435681e+00
2.559999989770745e-10	1.089398e+00	1.436275e+00	1.436073e+00	1.435681e+00
5.119999979541490e-10	1.089398e+00	1.436276e+00	1.436073e+00	1.435681e+00
1.023999995908298e-09	1.089398e+00	1.436276e+00	1.436073e+00	1.435681e+00
2.047999991816596e-09	1.089398e+00	1.436276e+00	1.436073e+00	1.435682e+00
4.095999983633192e-09	1.089398e+00	1.436276e+00	1.436073e+00	1.435682e+00
8.191999967266383e-09	1.089399e+00	1.436277e+00	1.436073e+00	1.435683e+00
1.638399993453277e-08	1.089399e+00	1.436278e+00	1.436074e+00	1.435684e+00
3.276799986906553e-08	1.089400e+00	1.436280e+00	1.436075e+00	1.435686e+00
6.553599973813107e-08	1.089400e+00	1.436283e+00	1.436077e+00	1.435688e+00
1.310719994762621e-07	1.089401e+00	1.436285e+00	1.436081e+00	1.435690e+00
2.243217118213430e-07	1.089401e+00	1.436286e+00	1.436084e+00	1.435691e+00
3.220605363510517e-07	1.089401e+00	1.436286e+00	1.436084e+00	1.435691e+00
4.220605363510517e-07	1.089401e+00	1.436286e+00	1.436084e+00	1.435691e+00
5.220605363510518e-07	1.089401e+00	1.436286e+00	1.436084e+00	1.435691e+00
6.220605363510518e-07	1.089401e+00	1.436286e+00	1.436084e+00	1.435691e+00
7.220605363510518e-07	1.089401e+00	1.436286e+00	1.436084e+00	1.435691e+00
8.220605363510518e-07	1.089401e+00	1.436286e+00	1.436084e+00	1.435690e+00
9.220605363510518e-07	1.089401e+00	1.436286e+00	1.436084e+00	1.435690e+00
1.022060536351052e-06	1.089401e+00	1.436286e+00	1.436084e+00	1.435690e+00
1.122060536351052e-06	1.089401e+00	1.436286e+00	1.436084e+00	1.435689e+00
1.222060536351052e-06	1.089401e+00	1.436286e+00	1.436084e+00	1.435689e+00
1.322060536351052e-06	1.089401e+00	1.436285e+00	1.436084e+00	1.435689e+00
1.422060536351051e-06	1.089401e+00	1.436285e+00	1.436084e+00	1.435688e+00
1.522060536351051e-06	1.089401e+00	1.436285e+00	1.436084e+00	1.435688e+00
1.622060536351051e-06	1.089401e+00	1.436285e+00	1.436084e+00	1.435688e+00
1.722060536351051e-06	1.089401e+00	1.436285e+00	1.436084e+00	1.435687e+00
1.822060536351051e-06	1.089401e+00	1.436285e+00	1.436084e+00	1.435687e+00
1.922060536351051e-06	1.089401e+00	1.436285e+00	1.436084e+00	1.435686e+00
2.022060536351051e-06	1.089401e+00	1.436285e+00	1.436083e+00	1.435686e+00
2.122060536351051e-06	1.089401e+00	1.436285e+00	1.436083e+00	1.435686e+00
2.222060536351051e-06	1.089401e+00	1.436285e+00	1.436083e+00	1.435685e+00
2.322060536351050e-06	1.089400e+00	1.436285e+00	1.436083e+00	1.435685e+00
2.422060536351050e-06	1.089400e+00	1.436285e+00	1.436083e+00	1.435684e+00
2.522060536351050e-06	1.089400e+00	1.436285e+00	1.436083e+00	1.435684e+00
2.622060536351050e-06	1.089400e+00	1.436285e+00	1.436083e+00	1.435683e+00
2.722060536351050e-06	1.089400e+00	1.436285e+00	1.436083e+00	1.435683e+00
2.822060536351050e-06	1.089400e+00	1.436285e+00	1.436083e+00	1.435683e+00
2.922060536351050e-06	1.089400e+00	1.436284e+00	1.436083e+00	1.435682e+00
3.022060536351050e-06	1.089400e+00	1.436284e+00	1.436083e+00	1.435682e+00
3.122060536351050e-06	1.089400e+00	1.436284e+00	1.436083e+00	1.435681e+00
3.222060536351049e-06	1.089400e+00	1.436284e+00	1.436083e+00	1.435681e+00
3.322060536351049e-06	1.089400e+00	1.436284e+00	1.436083e+00	1.435680e+00
3.422060536351049e-06	1.089400e+00	1.436284e+00	1.436083e+00	1.435680e+00
3.522060536351049e-06	1.089400e+00	1.436284e+00	1.436083e+00	1.435680e+00
3.622060536351049e-06	1.089400e+00	1.436284e+00	1.436083e+00	1.435679e+00
