Freq.	V(n002)
1.00000000000000e+01	(3.27264308169773e-01dB,-3.06309791877798e+00°)
1.25892541179417e+01	(5.31868881657858e-01dB,-3.94521763420654e+00°)
1.58489319246111e+01	(8.65556940057029e-01dB,-5.16071079686356e+00°)
1.99526231496888e+01	(1.41962909452930e+00dB,-6.92949096875288e+00°)
2.51188643150958e+01	(2.36840972780515e+00dB,-9.75132468337661e+00°)
3.16227766016838e+01	(4.08361581475418e+00dB,-1.50543015011413e+01°)
3.98107170553497e+01	(7.46783648761975e+00dB,-2.88630979304588e+01°)
5.01187233627272e+01	(1.17943692696965e+01dB,-8.96116720516847e+01°)
6.30957344480193e+01	(3.51928398549628e+00dB,-1.50953043307705e+02°)
7.94328234724282e+01	(-3.88346082749580e+00dB,-1.64891647319395e+02°)
1.00000000000000e+02	(-9.60692411245807e+00dB,-1.70226252119647e+02°)
1.25892541179417e+02	(-1.45597597766082e+01dB,-1.73061532087437e+02°)
1.58489319246111e+02	(-1.91160361174233e+01dB,-1.74839415882846e+02°)
1.99526231496888e+02	(-2.34510023078244e+01dB,-1.76064511063321e+02°)
2.51188643150958e+02	(-2.76563842949860e+01dB,-1.76960574751215e+02°)
3.16227766016838e+02	(-3.17836774212507e+01dB,-1.77646303435907e+02°)
3.98107170553498e+02	(-3.58630754432740e+01dB,-1.78197383497552e+02°)
5.01187233627273e+02	(-3.99127569915579e+01dB,-1.78675468739571e+02°)
6.30957344480194e+02	(-4.39438103081485e+01dB,-1.79149073272357e+02°)
7.94328234724282e+02	(-4.79629048537956e+01dB,-1.79719040770887e+02°)
1.00000000000000e+03	(-5.19734226166823e+01dB,1.79438507591909e+02°)
1.25892541179417e+03	(-5.59743972563060e+01dB,1.77991196791174e+02°)
1.58489319246112e+03	(-5.99529757855510e+01dB,1.75296318292819e+02°)
1.99526231496888e+03	(-6.38533790505677e+01dB,1.70135250735436e+02°)
2.51188643150958e+03	(-6.74685985379882e+01dB,1.60472368175495e+02°)
3.16227766016838e+03	(-7.01985564089806e+01dB,1.44468645515633e+02°)
3.98107170553498e+03	(-7.11615092782018e+01dB,1.24902220190394e+02°)
5.01187233627273e+03	(-7.03810216075365e+01dB,1.09095931016215e+02°)
6.30957344480194e+03	(-6.87460998238612e+01dB,9.95948625422117e+01°)
7.94328234724283e+03	(-6.68403276529601e+01dB,9.45005107928720e+01°)
1.00000000000000e+04	(-6.48628051531168e+01dB,9.18047854585237e+01°)
1.25892541179417e+04	(-6.28677011886850e+01dB,9.03146737156958e+01°)
1.58489319246112e+04	(-6.08687760776917e+01dB,8.94007036461967e+01°)
1.99526231496888e+04	(-5.88694810892781e+01dB,8.87355605995821e+01°)
2.51188643150959e+04	(-5.68707825094107e+01dB,8.81438937033613e+01°)
3.16227766016839e+04	(-5.48731677020909e+01dB,8.75241294524004e+01°)
3.98107170553498e+04	(-5.28772042433666e+01dB,8.68083308910472e+01°)
5.01187233627273e+04	(-5.08837769305447e+01dB,8.59412403992271e+01°)
6.30957344480195e+04	(-4.88943065643968e+01dB,8.48688397211819e+01°)
7.94328234724283e+04	(-4.69110584248757e+01dB,8.35316142786601e+01°)
1.00000000000000e+05	(-4.49376122152383e+01dB,8.18602642222443e+01°)
1.25892541179417e+05	(-4.29795666003896e+01dB,7.97730755256435e+01°)
1.58489319246112e+05	(-4.10455482186919e+01dB,7.71752037066687e+01°)
1.99526231496888e+05	(-3.91485562737755e+01dB,7.39610661573397e+01°)
2.51188643150959e+05	(-3.73075534435726e+01dB,7.00220103850247e+01°)
3.16227766016839e+05	(-3.55489281644868e+01dB,6.52621764835684e+01°)
3.98107170553498e+05	(-3.39069213799940e+01dB,5.96247352246538e+01°)
5.01187233627274e+05	(-3.24215044873758e+01dB,5.31258337824526e+01°)
6.30957344480195e+05	(-3.11323058435635e+01dB,4.58830833800902e+01°)
7.94328234724284e+05	(-3.00691617876260e+01dB,3.81152666880141e+01°)
1.00000000000000e+06	(-2.92433939381471e+01dB,3.00959666907059e+01°)
1.25892541179417e+06	(-2.86455198454526e+01dB,2.20736921992757e+01°)
1.58489319246112e+06	(-2.82515522777920e+01dB,1.42001193474094e+01°)
1.99526231496889e+06	(-2.80342437133618e+01dB,6.50245150637515e+00°)
2.51188643150959e+06	(-2.79735920997051e+01dB,-1.09636864410962e+00°)
3.16227766016839e+06	(-2.80632944334515e+01dB,-8.72837689734043e+00°)
3.98107170553499e+06	(-2.83125699858360e+01dB,-1.65208758997977e+01°)
5.01187233627274e+06	(-2.87434741068464e+01dB,-2.45377549976812e+01°)
6.30957344480195e+06	(-2.93835798482268e+01dB,-3.27343057922511e+01°)
7.94328234724284e+06	(-3.02549915868367e+01dB,-4.09453761533291e+01°)
1.00000000000000e+07	(-3.13636219832006e+01dB,-4.89232618272962e+01°)
