Freq.	V(n002)
1.00000000000000e+01	(6.48660866341985e+01dB,1.78059875189165e+02°)
1.25892541179417e+01	(6.48630579239367e+01dB,1.77539490627865e+02°)
1.58489319246111e+01	(6.48582626765212e+01dB,1.76888769156542e+02°)
1.99526231496888e+01	(6.48506739363197e+01dB,1.76073745431956e+02°)
2.51188643150958e+01	(6.48386739328676e+01dB,1.75052382779654e+02°)
3.16227766016838e+01	(6.48197230209119e+01dB,1.73772996219969e+02°)
3.98107170553497e+01	(6.47898563148516e+01dB,1.72172791615632e+02°)
5.01187233627272e+01	(6.47429375852162e+01dB,1.70177010864468e+02°)
6.30957344480193e+01	(6.46695994049398e+01dB,1.67699652004951e+02°)
7.94328234724282e+01	(6.45558450168248e+01dB,1.64647487752883e+02°)
1.00000000000000e+02	(6.43814461356153e+01dB,1.60930044279663e+02°)
1.25892541179417e+02	(6.41186336305192e+01dB,1.56478709702265e+02°)
1.58489319246111e+02	(6.37321729240105e+01dB,1.51276540092980e+02°)
1.99526231496888e+02	(6.31824432228556e+01dB,1.45394028128296e+02°)
2.51188643150958e+02	(6.24326782195662e+01dB,1.39014743533494e+02°)
3.16227766016838e+02	(6.14590651647678e+01dB,1.32426783189356e+02°)
3.98107170553498e+02	(6.02589375021773e+01dB,1.25967672354648e+02°)
5.01187233627273e+02	(5.88517706640652e+01dB,1.19943140379276e+02°)
6.30957344480194e+02	(5.72722713688792e+01dB,1.14562889209156e+02°)
7.94328234724282e+02	(5.55601955749623e+01dB,1.09921423467210e+02°)
1.00000000000000e+03	(5.37522035272426e+01dB,1.06017920746262e+02°)
1.25892541179417e+03	(5.18778712925700e+01dB,1.02791500581193e+02°)
1.58489319246112e+03	(4.99590754002146e+01dB,1.00153113379169e+02°)
1.99526231496888e+03	(4.80111046584534e+01dB,9.80070267786361e+01°)
2.51188643150958e+03	(4.60442573597922e+01dB,9.62625277679384e+01°)
3.16227766016838e+03	(4.40653075700610e+01dB,9.48389102819448e+01°)
3.98107170553498e+03	(4.20786441107139e+01dB,9.36665981867403e+01°)
5.01187233627273e+03	(4.00870833002846e+01dB,9.26863281285766e+01°)
6.30957344480194e+03	(3.80924217237485e+01dB,9.18474980968304e+01°)
7.94328234724283e+03	(3.60958016756918e+01dB,9.11062457961426e+01°)
1.00000000000000e+04	(3.40979487245786e+01dB,9.04235072569597e+01°)
1.25892541179417e+04	(3.20993247169366e+01dB,8.97631380848103e+01°)
1.58489319246112e+04	(3.01002260227692e+01dB,8.90900941377002e+01°)
1.99526231496888e+04	(2.81008469273609e+01dB,8.83686260884019e+01°)
2.51188643150959e+04	(2.61013213295713e+01dB,8.75604215597856e+01°)
3.16227766016839e+04	(2.41017515306341e+01dB,8.66226185262818e+01°)
3.98107170553498e+04	(2.21022302221352e+01dB,8.55056106127465e+01°)
5.01187233627273e+04	(2.01028603266720e+01dB,8.41505704370814e+01°)
6.30957344480195e+04	(1.81037767952789e+01dB,8.24866392651590e+01°)
7.94328234724283e+04	(1.61051745996587e+01dB,8.04277880224803e+01°)
1.00000000000000e+05	(1.41073476831477e+01dB,7.78694816018286e+01°)
1.25892541179417e+05	(1.21107438747615e+01dB,7.46855406434809e+01°)
1.58489319246112e+05	(1.01160391155060e+01dB,7.07261030632316e+01°)
1.99526231496888e+05	(8.12422749315902e+00dB,6.58185004822635e+01°)
2.51188643150959e+05	(6.13670558597456e+00dB,5.97743246332162e+01°)
3.16227766016839e+05	(4.15529168782246e+00dB,5.24078252141705e+01°)
3.98107170553498e+05	(2.18205896662309e+00dB,4.35719568463933e+01°)
5.01187233627274e+05	(2.18811326898993e-01dB,3.32157681526146e+01°)
6.30957344480195e+05	(-1.73388255462778e+00dB,2.14553126171219e+01°)
7.94328234724284e+05	(-3.67778966710754e+00dB,8.62829778150734e+00°)
1.00000000000000e+06	(-5.61738536324104e+00dB,-4.71500791132422e+00°)
1.25892541179417e+06	(-7.55870370787657e+00dB,-1.79135571026899e+01°)
1.58489319246112e+06	(-9.50709343416208e+00dB,-3.03561928346544e+01°)
1.99526231496889e+06	(-1.14654568731300e+01dB,-4.16170854371302e+01°)
2.51188643150959e+06	(-1.34340190958112e+01dB,-5.15043150449255e+01°)
3.16227766016839e+06	(-1.54112323785738e+01dB,-6.00272928348930e+01°)
3.98107170553499e+06	(-1.73948443639870e+01dB,-6.73287774162962e+01°)
5.01187233627274e+06	(-1.93825689316446e+01dB,-7.36210622694176e+01°)
6.30957344480195e+06	(-2.13723102459768e+01dB,-7.91425914862603e+01°)
7.94328234724284e+06	(-2.33620867266145e+01dB,-8.41348086796614e+01°)
1.00000000000000e+07	(-2.53497785378847e+01dB,-8.88331698805731e+01°)
